CoRoT-6 b,8.886593,940.74,13.068,2.32,657.24,6090,0.026,1.05,1.02
CoRoT-7 b,0.85359163,3.1783,1.681,6.61,153.7,5275,-0.292,0.82,0.83
CoRoT-7 c,3.698,8.4,2.83,2.04,153.7,5275,-0.292,0.82,0.83
CoRoT-8 b,6.21229,69.92,6.39,1.6,380,5080,-0.665,0.88,0.77
CoRoT-9 b,95.272656,266.9772,11.949,0.86,460,5625,-0.254,0.96,0.96
CoRoTID 223977153 b,6.71837,47.6745,6.389,1.1,586.2,5970,-0.155,1.08,0.79
DENIS-P J082303.1-491201 b,246.36,9057.77,11.9,29.5,20.77,,,0.07,
DH Tau b,,3496,30.264,0.693,140,3751.5,-0.569,0.33,0.27
DP Leo b,10220,1995.88832,12.7,5.35,,,,0.69,
EPIC 211822797 b,21.169861,4.58,1.98,3.24,187.19,4148.21,-1.113,0.66,0.57
EPIC 211945201 b,19.49221,27,5.76,0.65,182.69,6069,0.369,1.17,1.39
EPIC 220674823 b,0.571331,8.36,1.82,8.57,246.1,5617,-0.11,0.97,0.98
EPIC 220674823 c,13.339079,5.8,2.73,2,246.1,5617,-0.11,0.97,0.98
EPIC 246851721 b,6.180235,953.49,11.781,3.1,336.7,6202,0.526,1.32,1.59
FU Tau b,,5085.28,12.2,15.4,140,2838,-0.699,0.05,
Fomalhaut b,555530,826.3,13.5,1.85,7.7,8399,1.217,1.92,1.92
GJ 1132 b,1.628931,1.66,1.16,6.3,12.04,3270,-2.359,0.18,0.21
GJ 1132 c,8.929,2.64,1.43,4.96,12.04,3270,-2.359,0.18,0.21
GJ 1148 b,41.38,96.7,11.9,0.315,11.02,3264,-1.699,0.35,0.4
GJ 1148 c,532.58,68.06,9.71,0.409,11.02,3264,-1.699,0.35,0.4
GJ 1214 b,1.58040456,6.26125,2.847,1.49,12.95,3026,-2.312,0.15,0.22
GJ 1265 b,3.6511,7.4,2.63,2.24,10.26,3236,-2.439,0.18,0.19
GJ 143 b,35.589,30.63,6.07,0.753,16.33,4628.47,-0.706,0.76,0.73
GJ 163 b,8.63182,10.6,3.25,1.7,15.14,3500,-1.708,0.4,0.43
GJ 163 c,25.63058,6.8,2.5,2.39,15.14,3500,-1.708,0.4,0.43
GJ 163 d,603.95116,29.4,5.92,0.779,15.14,3500,-1.708,0.4,0.43
GJ 179 b,2288,260.61,13.9,0.533,12.36,3370,-1.796,0.36,0.38
GJ 273 b,18.6498,2.89,1.51,4.61,3.8,3382,-2.056,0.29,0.29
GJ 273 c,4.7234,1.18,1.06,5.44,3.8,3382,-2.056,0.29,0.29
GJ 3021 b,133.71,1071.04,13.1,2.62,17.56,5540,-0.18,0.9,0.9
GJ 3138 b,1.22003,1.78,1.18,5.95,29.9,3717,-1.347,0.68,0.5
GJ 3138 c,5.974,4.18,1.88,3.46,29.9,3717,-1.347,0.68,0.5
GJ 3138 d,257.8,10.5,3.23,1.71,29.9,3717,-1.347,0.68,0.5
GJ 317 b,692,794.5,13.3,1.86,15.1,3510,,0.42,
GJ 317 c,5312,489.4582,13.5,1.09,15.1,3510,,0.42,
GJ 328 b,4100,731,13.3,1.71,20.54,3900,-0.993,0.69,0.67
GJ 3293 b,30.5987,23.54,5.19,0.925,20.2,3466,-1.658,0.42,0.4
GJ 3293 c,122.6196,21.09,4.87,1,20.2,3466,-1.658,0.42,0.4
GJ 3293 d,48.1345,7.6,2.67,2.19,20.2,3466,-1.658,0.42,0.4
GJ 3293 e,13.2543,3.28,1.63,4.16,20.2,3466,-1.658,0.42,0.4
GJ 3323 b,5.3636,2.02,1.23,5.96,5.32,3159,-2.569,0.16,0.12
GJ 3323 c,40.54,2.31,1.32,5.52,5.32,3159,-2.569,0.16,0.12
GJ 3341 b,14.207,6.6,2.46,2.44,23.16,3526,-1.538,0.47,0.44
